Packet_Nbre,Cycle,HPM0,HPM2,HPM3,HPM4,HPM5,HPM6,HPM7,HPM8,HPM9,HPM10,HPM11
legitime,49598.0,49598.0,15866.0,497.0,76.0,15837.0,2573.0,2216.0,1489.0,2455.0,1251.0,10558.0
legitime,46333.0,46333.0,15050.0,477.0,68.0,14604.0,2437.0,2088.0,1433.0,2315.0,1195.0,10066.0
legitime,41793.0,41793.0,13418.0,437.0,52.0,13208.0,2165.0,1832.0,1321.0,2035.0,1083.0,9082.0
legitime,50248.0,50248.0,16274.0,507.0,80.0,15615.0,2641.0,2280.0,1517.0,2525.0,1279.0,10804.0
legitime,44430.0,44430.0,14234.0,457.0,60.0,14142.0,2301.0,1960.0,1377.0,2175.0,1139.0,9574.0
legitime,43397.0,43397.0,14030.0,452.0,58.0,13693.0,2267.0,1928.0,1363.0,2140.0,1125.0,9451.0
legitime,41017.0,41017.0,13418.0,437.0,52.0,12832.0,2165.0,1832.0,1321.0,2035.0,1083.0,9082.0
legitime,49971.0,49971.0,16478.0,512.0,82.0,15666.0,2675.0,2312.0,1531.0,2560.0,1293.0,10927.0
legitime,40969.0,40969.0,13418.0,437.0,52.0,12801.0,2165.0,1832.0,1321.0,2035.0,1083.0,9082.0
legitime,52670.0,52670.0,16886.0,522.0,86.0,16505.0,2743.0,2376.0,1559.0,2630.0,1321.0,11173.0
legitime,48447.0,48447.0,15662.0,492.0,74.0,15337.0,2539.0,2184.0,1475.0,2420.0,1237.0,10435.0
legitime,49469.0,49469.0,16070.0,502.0,78.0,15638.0,2607.0,2248.0,1503.0,2490.0,1265.0,10681.0
legitime,48895.0,48895.0,15662.0,492.0,74.0,15313.0,2539.0,2184.0,1475.0,2420.0,1237.0,10435.0
legitime,49843.0,49843.0,16274.0,507.0,80.0,15734.0,2641.0,2280.0,1517.0,2525.0,1279.0,10804.0
legitime,40404.0,40404.0,13214.0,432.0,50.0,12627.0,2131.0,1800.0,1307.0,2000.0,1069.0,8959.0
legitime,45840.0,45840.0,15050.0,477.0,68.0,14361.0,2437.0,2088.0,1433.0,2315.0,1195.0,10066.0
legitime,48350.0,48350.0,15866.0,497.0,76.0,15192.0,2573.0,2216.0,1489.0,2455.0,1251.0,10558.0
legitime,48366.0,48366.0,15866.0,497.0,76.0,15210.0,2573.0,2216.0,1489.0,2455.0,1251.0,10558.0
legitime,46570.0,46570.0,15254.0,482.0,70.0,14633.0,2471.0,2120.0,1447.0,2350.0,1209.0,10189.0
legitime,52618.0,52618.0,17294.0,532.0,90.0,16565.0,2811.0,2440.0,1587.0,2700.0,1349.0,11419.0
legitime,48944.0,48944.0,16070.0,502.0,78.0,15391.0,2607.0,2248.0,1503.0,2490.0,1265.0,10681.0
legitime,48872.0,48872.0,16070.0,502.0,78.0,15346.0,2607.0,2248.0,1503.0,2490.0,1265.0,10681.0
legitime,51344.0,51344.0,16886.0,522.0,86.0,16141.0,2743.0,2376.0,1559.0,2630.0,1321.0,11173.0
legitime,42924.0,42924.0,14030.0,452.0,58.0,13467.0,2267.0,1928.0,1363.0,2140.0,1125.0,9451.0
legitime,42311.0,42311.0,13826.0,447.0,56.0,13262.0,2233.0,1896.0,1349.0,2105.0,1111.0,9328.0
legitime,48410.0,48410.0,15866.0,497.0,76.0,15215.0,2573.0,2216.0,1489.0,2455.0,1251.0,10558.0
legitime,49581.0,49581.0,16274.0,507.0,80.0,15596.0,2641.0,2280.0,1517.0,2525.0,1279.0,10804.0
legitime,49513.0,49513.0,16274.0,507.0,80.0,15568.0,2641.0,2280.0,1517.0,2525.0,1279.0,10804.0
legitime,52364.0,52364.0,17294.0,532.0,90.0,16461.0,2811.0,2440.0,1587.0,2700.0,1349.0,11419.0
legitime,52458.0,52458.0,17294.0,532.0,90.0,16487.0,2811.0,2440.0,1587.0,2700.0,1349.0,11419.0
legitime,53928.0,53928.0,17294.0,532.0,90.0,16973.0,2811.0,2440.0,1587.0,2700.0,1349.0,11419.0
legitime,52709.0,52709.0,16886.0,522.0,86.0,16379.0,2743.0,2376.0,1559.0,2630.0,1321.0,11173.0
legitime,50806.0,50806.0,16274.0,507.0,80.0,16048.0,2641.0,2280.0,1517.0,2525.0,1279.0,10804.0
legitime,43182.0,43182.0,13826.0,447.0,56.0,13672.0,2233.0,1896.0,1349.0,2105.0,1111.0,9328.0
legitime,52132.0,52132.0,16886.0,522.0,86.0,16556.0,2743.0,2376.0,1559.0,2630.0,1321.0,11173.0
legitime,45056.0,45056.0,14438.0,462.0,62.0,14320.0,2335.0,1992.0,1391.0,2210.0,1153.0,9697.0
legitime,44063.0,44063.0,14438.0,462.0,62.0,13821.0,2335.0,1992.0,1391.0,2210.0,1153.0,9697.0
legitime,45761.0,45761.0,15050.0,477.0,68.0,14346.0,2437.0,2088.0,1433.0,2315.0,1195.0,10066.0
legitime,42150.0,42150.0,13826.0,447.0,56.0,13183.0,2233.0,1896.0,1349.0,2105.0,1111.0,9328.0
legitime,47541.0,47541.0,15662.0,492.0,74.0,14902.0,2539.0,2184.0,1475.0,2420.0,1237.0,10435.0
legitime,49834.0,49834.0,16274.0,507.0,80.0,15712.0,2641.0,2280.0,1517.0,2525.0,1279.0,10804.0
legitime,46962.0,46962.0,15050.0,477.0,68.0,14938.0,2437.0,2088.0,1433.0,2315.0,1195.0,10066.0
legitime,41210.0,41210.0,13214.0,432.0,50.0,13038.0,2131.0,1800.0,1307.0,2000.0,1069.0,8959.0
legitime,45567.0,45567.0,14642.0,467.0,64.0,14477.0,2369.0,2024.0,1405.0,2245.0,1167.0,9820.0
legitime,49039.0,49039.0,16070.0,502.0,78.0,15442.0,2607.0,2248.0,1503.0,2490.0,1265.0,10681.0
legitime,41197.0,41197.0,13214.0,432.0,50.0,13025.0,2131.0,1800.0,1307.0,2000.0,1069.0,8959.0
legitime,51232.0,51232.0,16478.0,512.0,82.0,16022.0,2675.0,2312.0,1531.0,2560.0,1293.0,10927.0
legitime,46621.0,46621.0,15254.0,482.0,70.0,14658.0,2471.0,2120.0,1447.0,2350.0,1209.0,10189.0
legitime,52623.0,52623.0,16886.0,522.0,86.0,16763.0,2743.0,2376.0,1559.0,2630.0,1321.0,11173.0
legitime,49467.0,49467.0,15866.0,497.0,76.0,15735.0,2573.0,2216.0,1489.0,2455.0,1251.0,10558.0
legitime,46569.0,46569.0,15254.0,482.0,70.0,14630.0,2471.0,2120.0,1447.0,2350.0,1209.0,10189.0
legitime,46569.0,46569.0,15254.0,482.0,70.0,14630.0,2471.0,2120.0,1447.0,2350.0,1209.0,10189.0
legitime,46540.0,46540.0,15254.0,482.0,70.0,14616.0,2471.0,2120.0,1447.0,2350.0,1209.0,10189.0
