Packet_Nbre,Cycle,Cycles,Minstret,JMP_STALL,IMISS,LD,ST,JUMP,BRANCH,BRANCH_TAKEN,COMP_INSTR,PIP_STALL
1,39931,39931,12921,234,44,11832,2060,1771,1283,1941,1067,8804
1,40608,40608,13133,238,46,12039,2095,1805,1297,1977,1082,8932
1,42433,42433,13769,250,52,12630,2200,1907,1339,2085,1127,9316
1,42464,42464,13769,250,52,12630,2200,1907,1339,2085,1127,9316
1,37999,37999,12285,222,38,11244,1955,1669,1241,1833,1022,8420
1,42388,42388,13769,250,52,12602,2200,1907,1339,2085,1127,9316
1,39226,39226,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,37968,37968,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,40501,40501,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,40467,40467,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,41147,41147,13345,243,48,12193,2130,1839,1311,2013,1097,9060
1,39889,39889,12921,235,44,11801,2060,1771,1283,1941,1067,8804
1,39855,39855,12921,234,44,11801,2060,1771,1283,1941,1067,8804
1,39855,39855,12921,234,44,11801,2060,1771,1283,1941,1067,8804
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,43646,43646,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,43017,43017,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,39226,39226,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,43000,43000,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,39226,39226,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,43646,43646,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,39855,39855,12921,234,44,11801,2060,1771,1283,1941,1067,8804
1,41130,41130,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,43629,43629,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,37968,37968,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,41759,41759,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,37968,37968,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,41742,41742,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,38619,38619,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,39855,39855,12921,234,44,11801,2060,1771,1283,1941,1067,8804
1,37968,37968,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,42371,42371,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,42388,42388,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,43647,43647,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,40484,40484,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,38580,38580,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,43000,43000,13981,254,54,12781,2235,1941,1353,2121,1142,9444
